,text
0,"Our Lady of Tenderness In this 12th c. depiction by an unknown artist, Mary holds her baby's face to her cheek as an expression of maternal tenderness. The evocative pose was copied two centuries later by the great Russian painter Andrei Rublev. The original was saved from destruction several times in its history. After the Russian Revolution it was housed in the Tretyakov Gallery in Moscow, but representations from the Russian Orthodox Church ensured it is once again in a nearby church, where services are held;"
1,"She Who Shows the Way Mary holds Christ in her left hand and with her right hand she "shows the way" by pointing to Him;"
2,"Christ is seated in His mother Mary's lap, symbolically the "Throne of Wisdom";"
3,"Gothic Madonna Based loosely on Byzantine Hodegetria iconography; typically depicts a standing, smiling Mary and playful Christ Child; considered one of the earliest depictions of Mary that is strictly Western;"
4,"Our Lady Nursing The Virgin is depicted breastfeeding the Holy Infant. Our Lady Nursing, as painted in the Catacomb of Priscilla in Rome, c. A.D. 250, is one of the earliest depictions (if not the earliest depiction) of Mary; Discouraged by the Council of Trent and rare subsequently."
5,"Virgin Mother of Mercy A regal, celestial Mary is depicted covering the faithful in her protective mantle; first arose in the late 13th century in Central Europe and Italy; depiction is commonly associated with plague monuments"
6,"Mary is seated in majesty, holding the Christ Child; based on Byzantine Nikopoia iconography"
7,"Mary cradles the dead body of Jesus Christ after his crucifixion; this type emerged first in the 13th century in Germany as an Andachtsbild or devotional icon relating to grief; Italian Pietàs appeared in the 14th century;[26] Michelangelo's Pietà (1498–1499) is considered a masterpiece;"
8,"Loving Mother Iconic Western depiction with many variations; based loosely on Byzantine Glykophilousa ("sweet kisses") iconography; Mary turns her gaze away from the Christ Child as she contemplates His future Passion; Renaissance emphasis on classical ideal types realistic human anatomy and linear perspective are evident;"
9,"Mary with toddlers Jesus and his cousin, John the Baptist, looking on, painted 1513-1514 during Raphael's Roman period. The unusual non-linear style and colouring is more reminiscent of Titian and Sebastiano del Piombo and bears out their influence. This painting has been greatly admired by many people, including Nathaniel Hawthorne, and by subsequent painters of the stature of Ingres"
